#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         676     8.78384     9.66338   0.0194292
         677     9.01837     9.66243   0.0194239
         678      9.3495     9.66197   0.0194007
         679     9.72905     9.66207   0.0193724
         680     10.0483     9.66263   0.0193522
         681     10.1953     9.66342   0.0193396
         682     10.1632     9.66415   0.0193251
         683     10.0064     9.66465   0.0193033
         684      9.8301     9.66489   0.0192766
         685     9.73047     9.66499   0.0192487
         686     9.73989      9.6651    0.019221
         687     9.80272      9.6653    0.019194
         688     9.87893     9.66561   0.0191686
         689     9.91675     9.66597   0.0191443
         690     9.92767     9.66635   0.0191203
         691     9.91573     9.66671    0.019096
         692     9.89777     9.66705   0.0190714
         693      9.8563     9.66732   0.0190458
         694     9.81854     9.66754   0.0190196
         695     9.81883     9.66776   0.0189935
         696     9.86308     9.66804   0.0189683
         697     9.92334      9.6684   0.0189446
         698     9.94113     9.66879   0.0189215
         699     9.86589     9.66908   0.0188965
         700     9.70121     9.66912   0.0188696
         701      9.4906     9.66887   0.0188444
         702     9.26768     9.66829   0.0188262
         703     9.09219     9.66748   0.0188172
         704     9.00329     9.66653   0.0188141
         705     9.01027      9.6656   0.0188105
         706     9.09457     9.66479   0.0188012
         707     9.19842     9.66413   0.0187862
         708     9.27446     9.66358   0.0187677
         709     9.31047     9.66308   0.0187478
         710     9.30633     9.66258   0.0187282
         711     9.29168     9.66206   0.0187091
         712     9.28642     9.66153   0.0186903
         713     9.30718     9.66104   0.0186706
         714     9.37603     9.66064   0.0186488
         715     9.50735     9.66042   0.0186239
         716     9.70332     9.66048    0.018598
         717     9.90244     9.66082   0.0185751
         718       10.05     9.66136   0.0185572
         719     10.1139     9.66199    0.018542
         720     10.1003      9.6626   0.0185263
         721     10.0572     9.66315   0.0185086
         722     10.0151     9.66363   0.0184894
         723     9.96284     9.66405   0.0184685
         724     9.87762     9.66434   0.0184453
         725     9.76633     9.66448   0.0184204
         726     9.63828     9.66445   0.0183951
         727     9.53511     9.66427   0.0183706
         728     9.47215     9.66401   0.0183473
         729     9.45452     9.66372   0.0183244
         730     9.46428     9.66345   0.0183013
         731      9.5108     9.66324   0.0182775
         732     9.60486     9.66316   0.0182527
         733     9.73467     9.66325    0.018228
         734     9.87616     9.66354   0.0182055
         735     10.0086     9.66401   0.0181868
